名字,正文,时间
"
香息",你很棒！你也给了很多人希望！ ,20200123-20200207
"
随遇而安BY2",71171了15188 ,20200123-20200207
"
两只小猫咪的麻麻",会好起来的，您辛苦了 ,20200123-20200207
"
Miss逍遥小仙",给医生大大点赞~ ,20200123-20200207
"
失落的星球pow",现在他老人家好点没，转普通病症了吧 ,20200123-20200207
"
1森川绿",希望早日康复！加油?? ,20200123-20200207
"
Randy_Tse",真的很怕。我平时工作接触的人多，而且也是打嗝放屁胸闷外加小咳嗽，今晚头有点疼。 ,20200123-20200207
"
内心的力量",居然做了梦醒了！全世界都痊愈了！感动哭了，原来是你，无比尊敬的余医生！加油！挺住！ ,20200123-20200207
"
酸奶蘸仙贝z",加油(?? ????_????)?? ,20200123-20200207
"
大西瓜味的草莓",加油！祝您早日康复！！ ,20200123-20200207
"
宁泽涛370418",李医生200多斤的胖子，胖子最怕肺炎了 ,20200123-20200207
"
大头韩韩M",我也是，最后怎么解决的 ,20200123-20200207
"
小葵花BaBa课堂",@葵11400 ,20200123-20200207
"
TaeyeonLS",好乐观肯定会好起来的！加油加油 ,20200123-20200207
"
阿咔咔星",祝您早日康复 ,20200123-20200207
"
littleforest森",给了我们很多信心 ,20200123-20200207
"
桃子要喝绿茶汽水",最后的胜利属于我们的！ ,20200123-20200207
"
路过人间风月",加油！一定会好的！ ,20200123-20200207
"
是mmmmmminion",你会好起来的！ ,20200123-20200207
"
向日葵060219",祝早日康复！ ,20200123-20200207
"
小希子88",加油 ,20200123-20200207
"
rose0717",早日康复 祝 ,20200123-20200207
"
惠荣Ada",您一定会好起来的 ,20200123-20200207
"
周闹闹闹闹luck",@阿凛者 不要气我了，气我吃不下去，抵抗力会下降的 ,20200123-20200207
"
还是露露",我们没说国家不好，我们恨得是湖北那群！ ,20200123-20200207
"
小饼干三号",医者仁心。 ,20200123-20200207
"
北芳是佳人",赞赞赞 ,20200123-20200207
"
兔蛋宝",这种情况下，我们的物价都没有上涨，我们踏踏实实在家，不为祖国添麻烦！我爱我的祖国！ ,20200123-20200207
"
柳上红叶",最后的胜利一定属于我们！祝您早日康复！ ,20200123-20200207
"
Lizzzz123",加油！！！！ ,20200123-20200207
"
oh-桃子小姐",热评得这条 手动点赞 我爱中国 这样??灾难 这样??反应速度 以及 应对措施 我相信都很难做到！我们国家在越来越透明化 有问题也积极解决问题。团结一致的对抗病毒 我想只有我们中国????可以做到这样！ ,20200123-20200207
"
天边6332",好感动！支持武汉 ,20200123-20200207
"
-March-Lv",早日康复 ,20200123-20200207
"
爱卿有何屁话要说",加油 ,20200123-20200207
"
Seveniw_",自己查 ,20200123-20200207
"
大长腿罒",@小鼻孔嗷 ,20200123-20200207
"
katrina空间",加油?? ,20200123-20200207
"
朱增根",棒。???????????? ,20200123-20200207
"
什么什么彦",Ict观察员？先给自己大脑做个ct吧 说话一张嘴就一股臭酸菜缸子味 ,20200123-20200207
"
陪俊凯打怪兽",加油！！好亲切的老爷爷！熟悉的武汉普通话！ ,20200123-20200207
"
心有阳光不喜忧伤",他们是幸运的，因为他们有医院可住。很多老百姓没有医院收治，轻症拖成了重症…… ,20200123-20200207
"
追逐我的明天要加油",希望您早日康复，加油 ,20200123-20200207
"
希望你未来的曰子有我",希望您早日康复 ,20200123-20200207
"
是你家的KK吗",转发微博 ,20200123-20200207
"
曾曾曾曾曾大丽",一定都会好起来的 ，希望和医生一样的病人还有医生都快好起来出院，爱我的祖国。好好在家呆着不给祖国添乱，加油??！ ,20200123-20200207
"
喜欢就笑吧",愿早日康复！ ,20200123-20200207
"
Z拉拉-",坚持?? ,20200123-20200207
"
来口甜粥",你爱怎么样就怎么样 ,20200123-20200207
"
小猫宁-927",你看过那张图片吗？他的战友同事都想直接联系央视记者了，想转院都不让，除非有人出来说的让我们心服口服，要不我们看到了那么多截图怎么信 ,20200123-20200207
