名字,正文,时间,text_result
"
魂淡的已有人抢了",会呀，有的消失得很快。所以最好隔个一年都测一下，没有抗体了就打乙肝疫苗 ,20200210-20200213,1
"
马J容",抗体会慢慢消失吗 ,20200210-20200213,0
"
马J容",没抗体就要打针吗？ ,20200210-20200213,0
"
魂淡的已有人抢了",做乙肝两对半就是看有没有抗体 ,20200210-20200213,1
"
羊村村民轨迹",， ,20200210-20200213,0
"
12ers_章文凯",对对！ ,20200210-20200213,1
"
胤大葱吃大葱",好 ,20200210-20200213,1
"
生活不要太浮躁",我看不太懂??????请问好心人????这是疫苗出来了吗 ,20200210-20200213,1
"
别将异种的Leo",你这发言像绿蛙 ,20200210-20200213,0
"
别将异种的Leo",你个老jianbi ,20200210-20200213,0
"
jyxz_luv",棒！ ,20200210-20200213,1
"
保持炽热梦想照进现实",祖国加油 ,20200210-20200213,1
"
__大包子",所以电影里演的病毒大爆发，有一个人免疫了，大家都要抢他的血清，这种剧情没骗我 ,20200210-20200213,1
"
五台山3061",武汉加油！中国加油！ ,20200210-20200213,1
"
一只叽叽咕叭",牛逼！！太好了！！ ,20200210-20200213,1
"
开开心心的爷爷008",t ,20200210-20200213,0
"
我齐齐要中二到底",好棒！希望越来越好，快点结束疫情吧！ ,20200210-20200213,1
"
想有一双温柔的眼",你们辛苦了 ,20200210-20200213,1
"
糕浩",加油 ,20200210-20200213,1
"
魂淡的已有人抢了",做乙肝两对半就是看有没有抗体，怎么可能不会显示呢，有的精确一点的还能看抗体的多少。如果提示抗体阴性，抗原阳性，那就代表你已经感染了。被感染的人，打疫苗是已经没有用了。 ,20200210-20200213,0
"
paolantic",这个本来就是自愿的不是强制的，我看中生的回答上写对于康复者现在一般推荐是400ml，一次捐献可用于2-3名患者的救治 ,20200210-20200213,1
"
爱吃辣的奇葩",别忘了测试其中艾滋和乙肝病毒。献血站都是采血后筛查各种病的。不要忘了！ ！！！ ,20200210-20200213,0
"
马J容",但是医生一般说正常人查这个是不会显示表炕阳性的，不知道怎么回事，过几天疫情过去了，再去化验一次，看看用不用打针 ,20200210-20200213,0
"
苦寻哲学",方法不太可靠，最好有权威认证。 ,20200210-20200213,1
"
天天笑西西-", 目前在缺乏疫苗和特效治疗药物的前提下，采用特免血浆制品治疗新冠病毒感染是最为有效的方法，可大幅降低危重患者病死率。“2019-nCoV感染恢复期患者特异血浆和特异免疫球蛋白制备”项目是科技部组织制定的国家重点研发计划“公共安全风险防控与应急技术装备”重点专项！ ,20200210-20200213,1
"
lzp_233333",有钱都买不到 ,20200210-20200213,0
"
芷秋Q",加油 ,20200210-20200213,1
"
留校察看678",加油 ,20200210-20200213,1
"
L洛塔",太好了！看到希望了！ ,20200210-20200213,1
"
良良良良良liang",加油 ,20200210-20200213,1
"
theoryagag",【重磅好消息!!!#治疗性新冠特 ,20200210-20200213,1
"
剑心逐道",国家在疫情开始时就已经治疗费全免了。 ,20200210-20200213,1
"
有备无患99",好消息 ,20200210-20200213,1
"
哈迪爱韩庚",????????多一个治愈者的捐赠，就多 ,20200210-20200213,1
"
幽灵潜艇长",我们不能强制康复的人献血，但可以协议接受血浆治疗的人，康复后，配合采血浆 ,20200210-20200213,1
"
麥小MSN",??接下来都是好消息 ,20200210-20200213,1
"
秦怀玉",举报了 ,20200210-20200213,0
"
爱伦依旧",期待康复者去献血！你的一次善举可能拯救一个家庭 ,20200210-20200213,1
"
桑济拉姆",感谢所有康复者的无私奉献，你们是中华好儿女 ,20200210-20200213,1
"
一句对不起让我输了全部1990",武汉加油 ,20200210-20200213,1
"
余生生007",希望今天以后都是好消息 ,20200210-20200213,1
"
疾走的短腿",加油啊！！！ ,20200210-20200213,1
"
ASHENGLEON",说的对，最终还得靠免疫系统。 ,20200210-20200213,1
